Discipline,Title,Authors,Summary
Psychiatry,Preliminary Validity for a Brief Caregiver-Report Screener for Suicidal Thoughts and Behaviors in Children Under Age 8,"Hennefield, Laura; Chen, Christina; Agali, Uchechukwu; Luby, Joan L","Children as young as preschool-aged can experience suicidal thoughts and behaviors. Despite calls for increased youth suicide risk screening and assessment, we lack tools for identifying the youngest children experiencing STBs who might be at heighted risk for suicide, self-harm, and related distress."
Psychiatry,"""Chat-GPT on the Couch"": Assessing and Alleviating  State Anxiety in Large Language Models","Ben-Zion, Ziv; Witte, Kristin; Jagadish, Akshay K; Duek, Or; Harpaz-Rotem, Ilan; Khorsandian, Marie-Christine; Burrer, Achim; Seifritz, Erich; Homan, Philipp; Schulz, Eric; Spiller, Tobias R","The increasing use of Large Language Models (LLMs) in mental health research underscores the need to understand their responses to emotional content. Previous research has shown that emotion-inducing prompts can increase the ""anxiety"" levels reported by LLMs. This work examined whether narratives of traumatic experiences can induce ""an anxiety"" in LLMs and evaluated the effectiveness of mindfulness-based relaxation techniques."
Cognitive Neuroscience,Distinguishing the roles of mental imagery and relational reasoning in creativity: a review and methodological proposal,"Ferreria, Matheus H","The majority of research on creativity ignores the individual differences in fluency and originality scores of divergent thinking (DT) tasks. Some people can be very prolific in originality but have a low frequency of ideas, or fluency, of responses."
Cognitive Neuroscience,Puberty interacts with sleep and brain network organization to predict mental health,"Mitchell, Mackenzie E; Nugiel, Tehila",The transition to adolescence brings about increased risk for sleep disturbances and mental health problems. Clarifying whether pubertal development interacts with sleep disturbances can provide information to improve the timing and design of interventions targeting sleep disturbances.
Cognitive Neuroscience,Distinguishing Out-of-Body Experiences from Lucid Dreaming: a phenomenological analysis.,"Weiler, Marina; de Almeida, Alexander M; Monti, Martin M","A consensus is lacking on whether out-of-body experiences (OBEs) and lucid dreams (LDs) should be considered as distinct categories of experience. We propose that disembodiment, or existing without a physical body, should be the key phenomenological feature of OBEs. By focusing on this crucial element, we can better understand and characterize an OBE."
Cognitive Neuroscience,An emergentist account of language in the brain - seeking neural synergies behind human uniqueness,"Bourguignon, Nicolas; Lo Bue, Salvatore","Cognitive neuroscience has become increasingly open to views of human cognitive faculties as emergent properties. This new perspective mitigates claims that cognitive abilities are tied to localized, domain-specific brain systems. In this changing landscape the neurobiology of language has lagged behind, with virtually no mature theory apt to guide an exploration of language."
Cognitive Neuroscience,The Effect of Transcranial Random Noise Stimulation (tRNS) over Bilateral Parietal Cortex in Visual Cross-Modal Conflict,"jiahong, Cui",The bilateral inferior parietal cortex (IPC) plays a pivotal role in inhibiting this conflict. Few studies have investigated the role of bilateral IPC in visual cross-modal conflict with semantic and non-semantic distractors. Transcranial random noise stimulation (tRNS) is a relatively new and effective neurostimulation technique for exploring underlying neural mechanisms.
Cognitive Neuroscience,Exploring when to exploit: The cognitive underpinnings of foraging-type decisions in relation to psychopathy,"Atanassova, Dimana V; Oosterman, Joukje; Diaconescu, Andreea O, Dr.; Mathys, Christoph; Madariaga Rivera, Victor I; Brazil, Inti",Impairments in reinforcement learning might underlie the tendency of individuals with elevated psychopathic traits to behave exploitatively. Everyday functioning requires us to learn the value of multiple options. Higher Antisocial traits were associated with a bias towards expecting more volatility in the environment.
Cognitive Neuroscience,Pavlovian safety learning: an integrative theoretical review,"Laing, Patrick; Vervliet, Bram; Dunsmoor, Joseph E; Harrison, Ben","Safety learning involves associating stimuli with the absence of threats, enabling the inhibition of fear and anxiety. Conceptualized as a form of inhibitory learning (conditioned inhibition), safety learning can be understood through formal learning theories."
Cognitive Neuroscience,Optimal and sub-optimal temporal decisions can explain procrastination in a real-world task,"Chebolu, Sahiti; Dayan, Peter","Procrastination is a universal phenomenon, with a significant proportion of the population reporting interference and even harm from such delays. We construct a taxonomy of different types of procrasti- nation and potential sources for each type."
Cognitive Neuroscience,The cerebellum contributes to prediction error coding in reinforcement learning - complementary evidence from stroke patients and from cerebellar transcranial magnetic stimulation,"Huvermann, Dana M; Berlijn, Adam M; Thieme, Andreas G; Erdlenbruch, Friedrich; Groiss, Stefan J; Deistung, Andreas; Mittelstaedt, Manfred; Wondzinski, Elke; Sievers, Heike; Frank, Benedikt; Goricke, Sophia; Gliem, Michael; Kohrmann, Martin; Siebler, Mario; Schnitzler, Alfons; Bellebaum, Christian; Minnerop, Martina; Timmann, Dagmar; Peterburs, Jutta","Recent rodent data suggest that the cerebellum processes PEs in reinforcement learning. A proxy of action outcome processing in regions traditionally associated with RL-PE coding, such as striatum and anterior cingulate cortex, can be measured in a component of the feedback-locked event-related potential (ERP)"
Cognitive Neuroscience,Beyond Mediator Retrievals: Charting the Path by Which Errors Lead to Better Memory Consolidation,"Leonard, Bridget; Stocco, Andrea; Hake, Holly S","This study reaffirms the positive role of errors in learning and uncovers their contribution to enhanced long-term memory retention. These insights challenge traditional learning paradigms, advocating for an educational approach that recognizes the value of errors."
Cognitive Neuroscience,Research Priorities for Improving Cognitive and Neuropsychological Outcomes in Hydrocephalus,"Dasher, Nickolas; Zabel, T. A; Garcia-Bonilla, Maria; Jantzie, Lauren L; Hamilton, Mark G; Williams, Michael A; Chau, Monica J","Hydrocephalus is a neurological disorder that impacts approximately 85 per 100,000 individuals worldwide. It is associated with motor and cognitive impairments. There continues to be significant gaps in our understanding of this heterogeneous condition."
